# r_data chir_mag_data chir_real_data r_model chir_mag_model chir_real_model
4.049709e+00 6.875689e-01 3.469353e-01 4.049709e+00 7.124814e-01 3.587399e-01
4.080389e+00 6.457545e-01 5.639021e-01 4.080389e+00 6.689204e-01 5.855190e-01
4.111069e+00 5.991631e-01 5.990602e-01 4.111069e+00 6.207134e-01 6.204170e-01
4.141748e+00 5.495566e-01 4.713534e-01 4.141748e+00 5.698107e-01 4.819406e-01
4.172428e+00 4.987491e-01 2.461072e-01 4.172428e+00 5.180092e-01 2.397902e-01
4.203107e+00 4.485125e-01 3.994787e-03 4.203107e+00 4.668856e-01 -1.811101e-02
4.233787e+00 4.004825e-01 -1.884349e-01 4.233787e+00 4.177688e-01 -2.184752e-01
4.264467e+00 3.560658e-01 -2.956699e-01 4.264467e+00 3.717411e-01 -3.227120e-01
4.295146e+00 3.163526e-01 -3.144436e-01 4.295146e+00 3.296475e-01 -3.294950e-01
4.325826e+00 2.820382e-01 -2.636193e-01 4.325826e+00 2.920950e-01 -2.635729e-01
4.356505e+00 2.533672e-01 -1.707595e-01 4.356505e+00 2.594253e-01 -1.594230e-01
4.387185e+00 2.301214e-01 -6.218950e-02 4.387185e+00 2.316671e-01 -4.802941e-02
4.417865e+00 2.116741e-01 4.092001e-02 4.417865e+00 2.084970e-01 4.909067e-02
4.448544e+00 1.971111e-01 1.222373e-01 4.448544e+00 1.892571e-01 1.194803e-01
4.479224e+00 1.853893e-01 1.693811e-01 4.479224e+00 1.730594e-01 1.567890e-01
4.509904e+00 1.754820e-01 1.749961e-01 4.509904e+00 1.589608e-01 1.589178e-01
4.540583e+00 1.664768e-01 1.395593e-01 4.540583e+00 1.461436e-01 1.284653e-01
4.571263e+00 1.576241e-01 7.344364e-02 4.571263e+00 1.340340e-01 7.404674e-02
4.601942e+00 1.483529e-01 -4.396433e-03 4.601942e+00 1.223303e-01 1.003537e-02
4.632622e+00 1.382726e-01 -7.182903e-02 4.632622e+00 1.109530e-01 -4.664608e-02
4.663302e+00 1.271721e-01 -1.110993e-01 4.663302e+00 9.995087e-02 -8.185231e-02
4.693981e+00 1.150139e-01 -1.150121e-01 4.693981e+00 8.940179e-02 -8.911093e-02
4.724661e+00 1.019211e-01 -8.872224e-02 4.724661e+00 7.934322e-02 -7.148262e-02
4.755340e+00 8.815225e-02 -4.637675e-02 4.755340e+00 6.975049e-02 -3.939394e-02
4.786020e+00 7.406382e-02 -4.495690e-03 4.786020e+00 6.056240e-02 -5.657113e-03
4.816700e+00 6.005980e-02 2.456138e-02 4.816700e+00 5.173012e-02 1.970067e-02
4.847379e+00 4.653342e-02 3.614516e-02 4.847379e+00 4.325516e-02 3.236670e-02
4.878059e+00 3.380510e-02 3.291270e-02 4.878059e+00 3.518844e-02 3.353982e-02
4.908739e+00 2.206475e-02 2.163578e-02 4.908739e+00 2.758481e-02 2.752642e-02
4.939418e+00 1.133557e-02 9.487953e-03 4.939418e+00 2.044718e-02 1.902828e-02
4.970098e+00 1.790417e-03 1.673217e-03 4.970098e+00 1.379097e-02 1.163583e-02
5.000777e+00 8.274970e-03 8.685061e-04 5.000777e+00 8.478755e-03 7.760238e-03
5.031457e+00 1.770535e-02 7.647721e-03 5.031457e+00 9.278280e-03 9.063764e-03
5.062137e+00 2.755624e-02 2.071303e-02 5.062137e+00 1.707246e-02 1.623249e-02
5.092816e+00 3.808970e-02 3.649236e-02 5.092816e+00 2.787649e-02 2.779635e-02
5.123496e+00 4.941745e-02 4.878837e-02 5.123496e+00 4.052753e-02 3.894624e-02
5.154175e+00 6.148381e-02 4.971826e-02 5.154175e+00 5.447669e-02 4.191132e-02
5.184855e+00 7.409692e-02 3.260761e-02 5.184855e+00 6.916090e-02 2.882128e-02
5.215535e+00 8.697298e-02 -3.938378e-03 5.215535e+00 8.396516e-02 -3.667044e-03
5.246214e+00 9.977906e-02 -5.291459e-02 5.246214e+00 9.828074e-02 -5.033126e-02
5.276894e+00 1.121688e-01 -9.910951e-02 5.276894e+00 1.115774e-01 -9.673301e-02
5.307574e+00 1.238104e-01 -1.236781e-01 5.307574e+00 1.234653e-01 -1.234636e-01
5.338253e+00 1.344069e-01 -1.118661e-01 5.338253e+00 1.337347e-01 -1.142557e-01
5.368933e+00 1.437109e-01 -6.060546e-02 5.368933e+00 1.423633e-01 -6.449190e-02
5.399612e+00 1.515330e-01 1.786293e-02 5.399612e+00 1.494885e-01 1.423892e-02
5.430292e+00 1.577462e-01 9.875232e-02 5.430292e+00 1.553442e-01 9.650103e-02
5.460972e+00 1.622845e-01 1.534233e-01 5.460972e+00 1.601751e-01 1.521017e-01
5.491651e+00 1.651391e-01 1.606443e-01 5.491651e+00 1.641477e-01 1.583493e-01
5.522331e+00 1.663498e-01 1.155888e-01 5.522331e+00 1.672854e-01 1.100663e-01
5.553010e+00 1.659959e-01 3.251071e-02 5.553010e+00 1.694473e-01 2.266027e-02
5.583690e+00 1.641856e-01 -6.026026e-02 5.583690e+00 1.703568e-01 -7.340914e-02
5.614370e+00 1.610456e-01 -1.310064e-01 5.614370e+00 1.696670e-01 -1.445227e-01
