# k_data chi_data_k2 k_model chi_model_k2
1.490000e+01 4.542799e-01 1.490000e+01 4.762494e-01
1.495000e+01 2.073010e-01 1.495000e+01 3.312806e-01
1.500000e+01 1.081428e-01 1.500000e+01 1.228916e-01
1.505000e+01 3.808510e-03 1.505000e+01 -1.093746e-01
1.510000e+01 -2.293771e-01 1.510000e+01 -3.251265e-01
1.515000e+01 -3.045133e-01 1.515000e+01 -4.913469e-01
1.520000e+01 -3.622488e-01 1.520000e+01 -5.876965e-01
1.525000e+01 -4.810593e-01 1.525000e+01 -6.079987e-01
1.530000e+01 -4.800645e-01 1.530000e+01 -5.583194e-01
1.535000e+01 -4.917838e-01 1.535000e+01 -4.528023e-01
1.540000e+01 -3.541545e-01 1.540000e+01 -3.088819e-01
1.545000e+01 -2.761983e-01 1.545000e+01 -1.434107e-01
1.550000e+01 -1.044168e-01 1.550000e+01 2.932529e-02
1.555000e+01 1.106267e-01 1.555000e+01 1.975515e-01
1.560000e+01 1.995604e-01 1.560000e+01 3.505553e-01
1.565000e+01 4.017930e-01 1.565000e+01 4.769910e-01
1.570000e+01 4.411886e-01 1.570000e+01 5.641361e-01
1.575000e+01 3.290304e-01 1.575000e+01 5.988817e-01
1.580000e+01 1.519141e-01 1.580000e+01 5.705142e-01
1.585000e+01 2.545689e-02 1.585000e+01 4.745568e-01
1.590000e+01 2.174420e-02 1.590000e+01 3.163710e-01
1.595000e+01 7.818067e-03 1.595000e+01 1.130674e-01
1.600000e+01 1.859582e-02 1.600000e+01 -1.073756e-01
1.605000e+01 -9.089420e-02 1.605000e+01 -3.101313e-01
1.610000e+01 -1.445826e-01 1.610000e+01 -4.600875e-01
1.615000e+01 -2.521976e-01 1.615000e+01 -5.295502e-01
1.620000e+01 -3.161427e-01 1.620000e+01 -5.051468e-01
1.625000e+01 -2.394063e-01 1.625000e+01 -3.918539e-01
1.630000e+01 -1.712349e-01 1.630000e+01 -2.129259e-01
1.635000e+01 2.482971e-02 1.635000e+01 -5.508809e-03
1.640000e+01 1.602608e-01 1.640000e+01 1.871619e-01
1.645000e+01 2.748360e-01 1.645000e+01 3.251607e-01
1.650000e+01 4.090136e-01 1.650000e+01 3.806022e-01
1.655000e+01 5.147038e-01 1.655000e+01 3.435901e-01
1.660000e+01 4.897128e-01 1.660000e+01 2.239883e-01
1.665000e+01 2.570602e-01 1.665000e+01 4.868454e-02
1.670000e+01 -6.776918e-02 1.670000e+01 -1.448470e-01
1.675000e+01 -2.266858e-01 1.675000e+01 -3.169988e-01
1.680000e+01 -1.555176e-01 1.680000e+01 -4.344015e-01
1.685000e+01 -1.574236e-01 1.685000e+01 -4.762773e-01
1.690000e+01 -2.180828e-01 1.690000e+01 -4.374855e-01
1.695000e+01 -3.093166e-01 1.695000e+01 -3.279057e-01
1.700000e+01 -1.890516e-01 1.700000e+01 -1.687463e-01
1.705000e+01 2.078793e-02 1.705000e+01 1.293836e-02
1.710000e+01 9.836525e-02 1.710000e+01 1.899707e-01
1.715000e+01 2.177832e-01 1.715000e+01 3.396429e-01
